iter	Passed	Remaining
472	1074	1197
473	1075	1193
474	1076	1190
475	1078	1186
476	1079	1183
477	1081	1180
478	1082	1177
479	1084	1174
480	1088	1174
481	1090	1171
482	1091	1168
483	1092	1164
484	1094	1161
485	1095	1158
486	1097	1155
487	1098	1152
488	1100	1149
489	1102	1146
490	1104	1144
491	1105	1141
492	1106	1138
493	1108	1135
494	1110	1132
495	1111	1129
496	1113	1126
497	1114	1123
498	1116	1120
499	1119	1119
500	1120	1116
501	1121	1113
502	1123	1109
503	1124	1106
504	1125	1103
505	1127	1101
506	1129	1098
507	1131	1095
508	1134	1094
509	1136	1091
510	1137	1088
511	1139	1085
512	1140	1083
513	1142	1080
514	1143	1077
515	1145	1074
516	1146	1071
517	1148	1069
518	1150	1066
519	1153	1064
520	1155	1062
521	1157	1059
522	1158	1056
523	1161	1054
524	1166	1055
525	1168	1052
526	1170	1050
527	1172	1047
528	1174	1045
529	1175	1042
530	1177	1040
531	1180	1038
532	1182	1035
533	1183	1033
534	1185	1030
535	1186	1027
536	1187	1024
537	1188	1020
538	1190	1017
539	1191	1014
540	1192	1011
541	1195	1010
542	1196	1007
543	1198	1004
544	1199	1001
545	1200	998
546	1201	995
547	1203	992
548	1204	989
549	1206	986
550	1207	984
551	1210	982
552	1211	979
553	1212	976
554	1214	973
555	1215	970
556	1217	968
557	1218	965
558	1219	962
559	1221	959
560	1222	957
561	1226	955
562	1227	953
563	1229	950
564	1230	947
565	1232	945
566	1234	942
567	1235	939
568	1237	937
569	1238	934
570	1241	932
571	1242	929
572	1244	927
573	1245	924
574	1247	921
575	1249	919
576	1250	917
577	1252	914
578	1254	912
579	1256	910
580	1258	907
581	1259	904
582	1261	902
583	1262	899
584	1264	896
585	1265	894
586	1266	891
587	1268	888
588	1271	887
589	1273	884
590	1274	882
591	1276	879
592	1277	876
593	1279	874
594	1281	872
595	1283	869
596	1285	867
597	1287	865
598	1289	863
599	1290	860
600	1292	858
601	1295	856
602	1296	853
603	1298	851
604	1301	849
605	1303	847
606	1304	844
607	1306	842
608	1307	839
609	1309	837
610	1310	834
611	1312	831
612	1313	829
613	1315	827
614	1318	825
615	1319	822
616	1321	820
617	1323	817
618	1325	815
619	1326	813
620	1328	810
621	1329	807
622	1331	805
623	1333	803
624	1335	801
625	1336	798
626	1338	796
627	1339	793
628	1341	791
629	1342	788
630	1344	786
631	1345	783
632	1347	781
633	1349	778
634	1350	776
635	1352	773
636	1353	771
637	1355	769
638	1356	766
639	1357	763
640	1359	761
641	1360	758
642	1362	756
643	1363	753
644	1365	751
645	1366	748
646	1367	746
647	1369	743
648	1370	741
649	1371	738
650	1372	736
651	1374	733
652	1375	731
653	1378	729
654	1380	727
655	1381	724
656	1383	722
657	1384	719
658	1385	717
659	1387	714
660	1389	712
661	1390	710
662	1393	708
663	1395	706
664	1397	704
665	1399	701
666	1401	699
667	1402	697
668	1404	694
669	1406	692
670	1409	691
671	1411	688
672	1412	686
673	1414	683
674	1415	681
675	1417	679
676	1419	677
677	1421	674
678	1423	672
679	1424	670
680	1426	668
681	1427	665
682	1429	663
683	1430	661
684	1432	658
685	1434	656
686	1435	654
687	1437	651
688	1439	649
689	1440	647
690	1442	645
691	1444	642
692	1445	640
693	1447	638
694	1448	635
695	1450	633
696	1452	631
697	1455	629
698	1456	627
699	1458	624
700	1459	622
701	1461	620
702	1463	618
703	1464	615
704	1466	613
705	1467	611
706	1469	609
707	1471	606
708	1473	604
709	1474	602
710	1476	600
711	1478	597
712	1479	595
713	1481	593
714	1483	591
715	1485	589
716	1487	587
717	1489	584
718	1490	582
719	1492	580
720	1494	578
721	1495	575
722	1497	573
723	1501	572
724	1503	570
725	1504	567
726	1506	565
727	1507	563
728	1509	561
729	1510	558
730	1512	556
731	1514	554
732	1516	552
733	1517	550
734	1519	547
735	1520	545
736	1521	543
737	1523	540
738	1524	538
739	1525	536
740	1527	533
741	1528	531
742	1531	529
743	1533	527
744	1534	525
745	1536	523
746	1537	520
747	1539	518
748	1540	516
749	1542	514
750	1543	511
751	1545	509
752	1547	507
753	1548	505
754	1550	503
755	1551	500
756	1552	498
757	1554	496
758	1555	493
759	1557	491
760	1558	489
761	1559	487
762	1561	485
763	1563	482
764	1564	480
765	1566	478
766	1567	476
767	1568	473
768	1570	471
769	1571	469
770	1573	467
771	1574	464
772	1576	462
773	1577	460
774	1579	458
775	1580	456
776	1582	454
777	1583	451
778	1584	449
779	1586	447
780	1587	445
781	1588	442
782	1589	440
783	1591	438
784	1593	436
785	1594	434
786	1595	431
787	1597	429
788	1599	427
789	1600	425
790	1602	423
791	1603	421
792	1605	419
793	1607	417
794	1608	414
795	1610	412
796	1611	410
797	1612	408
798	1614	406
799	1615	403
800	1617	401
801	1618	399
802	1620	397
803	1621	395
804	1623	393
805	1624	391
806	1626	388
807	1627	386
808	1629	384
809	1631	382
810	1633	380
811	1634	378
812	1637	376
813	1639	374
814	1640	372
815	1641	370
816	1643	368
817	1644	365
818	1646	363
819	1647	361
820	1649	359
821	1650	357
822	1652	355
823	1654	353
824	1655	351
825	1656	348
826	1657	346
827	1659	344
828	1660	342
829	1662	340
830	1663	338
831	1665	336
832	1666	334
833	1669	332
834	1670	330
835	1671	327
836	1673	325
837	1674	323
838	1676	321
839	1677	319
840	1678	317
841	1680	315
842	1681	313
843	1683	311
844	1685	309
845	1686	307
846	1688	304
847	1689	302
848	1690	300
849	1692	298
850	1693	296
851	1695	294
852	1697	292
853	1699	290
854	1701	288
855	1702	286
856	1704	284
857	1705	282
858	1707	280
859	1708	278
860	1710	276
861	1712	274
862	1714	272
863	1716	270
864	1717	268
865	1718	265
866	1720	263
867	1721	261
868	1723	259
869	1725	257
870	1726	255
871	1727	253
872	1730	251
873	1732	249
874	1733	247
875	1735	245
876	1736	243
877	1737	241
878	1738	239
879	1739	237
880	1740	235
881	1741	233
882	1743	230
883	1744	228
884	1745	226
885	1746	224
886	1747	222
887	1749	220
888	1750	218
889	1751	216
890	1752	214
891	1753	212
892	1754	210
893	1756	208
894	1757	206
895	1758	204
896	1759	202
897	1760	200
898	1762	197
899	1763	195
900	1764	193
901	1766	191
902	1768	189
903	1769	187
904	1771	185
905	1772	183
906	1776	182
907	1779	180
908	1781	178
909	1782	176
910	1784	174
911	1785	172
912	1795	171
913	1799	169
914	1802	167
915	1803	165
916	1805	163
917	1807	161
918	1808	159
919	1810	157
920	1811	155
921	1812	153
922	1814	151
923	1815	149
924	1817	147
925	1818	145
926	1819	143
927	1821	141
928	1822	139
929	1824	137
930	1825	135
931	1826	133
932	1827	131
933	1829	129
934	1831	127
935	1832	125
936	1833	123
937	1835	121
938	1837	119
939	1838	117
940	1840	115
941	1842	113
942	1844	111
943	1846	109
944	1848	107
945	1849	105
946	1851	103
947	1853	101
948	1855	99
949	1857	97
950	1858	95
951	1860	93
952	1861	91
953	1863	89
954	1864	87
955	1867	85
956	1869	83
957	1870	82
958	1872	80
959	1873	78
960	1875	76
961	1876	74
962	1877	72
963	1879	70
964	1880	68
965	1882	66
966	1884	64
967	1885	62
968	1886	60
969	1887	58
970	1889	56
971	1890	54
972	1891	52
973	1893	50
974	1894	48
975	1896	46
976	1898	44
977	1900	42
978	1901	40
979	1903	38
980	1904	36
981	1906	34
982	1907	32
983	1908	31
984	1909	29
985	1912	27
986	1913	25
987	1915	23
988	1916	21
989	1918	19
990	1919	17
991	1920	15
992	1921	13
993	1923	11
994	1924	9
995	1925	7
996	1926	5
997	1928	3
998	1929	1
999	1931	0
